Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Team Name
PHI,SP,Aaron Nola,31,11,4,.733,3.44,21,21,0,1,1,0,130.2,108,53,50,18,31,0,126,2,0,1,522,118,3.77,1.064,7.4,1.2,2.1,8.7,4.06,PHI
PHI,SP,Zack Wheeler,34,10,4,.714,2.55,20,20,0,0,0,0,123.2,84,39,35,11,37,0,133,7,0,8,493,159,3.22,0.978,6.1,0.8,2.7,9.7,3.59,PHI
PHI,SP,Ranger Suárez* ,28,10,5,.667,2.87,20,20,0,1,1,0,119.1,100,43,38,9,27,1,116,5,2,1,481,142,2.99,1.064,7.5,0.7,2.0,8.7,4.30,PHI
PHI,SP,Cristopher Sánchez*,27,7,6,.538,3.05,20,20,0,1,1,0,115.0,115,45,39,3,30,0,91,0,1,5,474,133,2.69,1.261,9.0,0.2,2.3,7.1,3.03,PHI
PHI,SP,Taijuan Walker ,31,3,3,.500,5.60,10,10,0,0,0,0,53.0,58,34,33,12,21,0,43,2,0,0,230,73,5.77,1.491,9.8,2.0,3.6,7.3,2.05,PHI
PHI,CL,José Alvarado*,29,1,4,.200,4.14,44,0,21,0,0,13,41.1,33,21,19,3,17,1,45,1,0,4,172,99,3.22,1.210,7.2,0.7,3.7,9.8,2.65,PHI
PHI,RP,Jeff Hoffman,31,3,1,.750,1.05,44,0,15,0,0,9,43.0,27,8,5,2,12,1,59,1,0,5,171,390,1.91,0.907,5.7,0.4,2.5,12.3,4.92,PHI
PHI,RP,Matt Strahm*,32,4,1,.800,1.85,42,0,5,0,0,1,39.0,27,9,8,2,6,1,51,2,0,0,149,221,1.81,0.846,6.2,0.5,1.4,11.8,8.50,PHI
PHI,RP,Orion Kerkering,23,2,1,.667,2.33,39,1,5,0,0,0,38.2,31,11,10,0,9,0,44,6,0,1,155,176,2.03,1.034,7.2,0.0,2.1,10.2,4.89,PHI
PHI,RP,Gregory Soto*,29,2,4,.333,3.51,41,0,13,0,0,2,33.1,33,16,13,1,19,2,41,6,0,3,155,117,3.33,1.560,8.9,0.3,5.1,11.1,2.16,PHI
