Team Name,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF
TOR,SP,José Berríos,30,8,8,.500,4.08,21,21,0
TOR,SP,Kevin Gausman,33,9,8,.529,4.44,21,21,0
TOR,SP,Chris Bassitt,35,8,9,.471,3.78,21,21,0
TOR,SP,Yusei Kikuchi*,33,4,9,.308,4.75,22,22,0
TOR,SP,Yariel Rodríguez,27,1,3,.250,3.69,9,9,0
TOR,CL,Jordan Romano ,31,1,2,.333,6.59,15,0,14
TOR,RP,Trevor Richards,31,2,1,.667,4.83,44,2,4
TOR,RP,Génesis Cabrera*,27,3,2,.600,3.29,44,0,7
TOR,RP,Nate Pearson,27,0,1,.000,5.63,41,0,12
TOR,RP,Zach Pop,27,0,3,.000,5.70,35,0,6
